csv,usage,sha256
amlib_oam_vs_oadm_mul_hier_compile_10ns.csv,current,a647b28039c7263cd5c5c7f784d73c5c43caa199315f518ab64f9e4d949333c8
div_only_l2_optimization_10ns.csv,historical_not_for_current_ppa,b76d6af3363d5c5afc09da1a1c8af25a23d79c49347d5e84776e41ba94152928
div_only_l3_pareto.csv,historical_not_for_current_ppa,9b71735887c75a027cb92144a27a58bf1c5ff5a944e4a0e6f65502e54b47a3d7
div_only_vs_pace.csv,historical_not_for_current_ppa,47e8b2562604ee6fd5abeeb02c2402af46688858eea32958844fc78c47ea2ee6
div_only_vs_pace_hier_compile_10ns.csv,current,cb2a878a66b9abf408aa7d711c056bd4def679e207fe93164fafa3292866c882
divmul_arithmetic_sharing_hier_compile_10ns.csv,current,c2f072e690e6083725358be4379e0c7fbc15326a8d82afd78888ebd7adebc2d6
divmul_arithmetic_sharing_hierarchy_10ns.csv,current,8863ac9fb5c1dd2bd250755bf85724290eb81a41655413e3501241797959c454
divmul_best_by_level.csv,current,b4d6460f4bfef024f4c33ca4d632bfe9cb3c6825f835931a93d465d72a4783f3
divmul_pareto_candidates.csv,historical_not_for_current_ppa,7f670c864bd71f9d1cd20e0bfb944d7de61ca927645df5301e4d660983c7016e
divmul_sharing_ablation_hier_compile_10ns.csv,current,3618896d104e655befda6de68951ef4fb75872921bc2823fe7a0f7331de18538
exact_baselines_10ns_nopipe.csv,historical_not_for_current_ppa,12ec5c2ba8ec5a5854391622152c0b3780b955a104122553d3350f4e4278052b
exact_baselines_hier_compile_10ns.csv,current,4ad57f98f3028fc1209c2f6ca992c7c7b3d7e55322cf51bd1dea833903a41ebf
hier_compile_master_10ns.csv,current,c96afee4e69b690a90d1d67eadaab34d42797ffb787702b77bfa9572ab7a7935
mul_root_opt_hier_compile_10ns.csv,current,35789b35ee8a5161562b09d3559955793a8103e8537ef453f537fa4ba81598d8
oadm_fixed_current_ppa_accuracy_10ns.csv,current,a0d2d7bda7988c097526654a2d59c12601c961d30ff8ff5e023ce101fbae041e
oadm_l0_variant_explicit_flatten_10ns.csv,historical_not_for_current_ppa,48348b68039609f975cf22caa87314ed8081cb0dbe706ad607df2a21818fe3e7
pace_flatten_sensitivity_10ns.csv,historical_not_for_current_ppa,0aaa00d4fc911f1042eca9aeaec8174bdcdddd53240fa944441a624a602efe9a
plsad_vs_oadm_hier_compile_10ns.csv,current,12a0c7638ce738dc2643e2511c1e295ddbe6d9d268956a19e18399bbf87f2567
priorwork_comparison_10ns.csv,historical_not_for_current_ppa,2c6ee3b8794699b209cb338fb45d781b9148312fe8ec38731850630f0edc1e64
priorwork_hier_compile_10ns.csv,current,0414d38e6c7b499b021a188e5021a620316f2f336a5fe9395a45488761c747b7
root_opt_hier_compile_10ns.csv,current,7665a8012a46d4c06aab5b1862e59bd41bdfce42681ef3336ee4e0b87a521dc5
runtime_drop_sweep_10ns.csv,supporting_sweep_not_selected,a50b1c362ad26a6abe2b3b4b1ad0ca2ac633b2bbe8decb11c31f0e56c9766994
simdive_original_fp32.csv,current,6ef011c761e34f3d86e938268b3c40bb0ee24d2ac32f567b508758e3954746e9
